dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0
2024-04-22 20:25:50.387706,60147,18464,7037,255,0,0,0,0.05025652,0.46681011,1.20180796,1.41532445,1.42454481,1.42454481,1.42454481
2024-04-22 20:25:51.388130,61590,19015,7091,244,0,0,0,0.05146220,0.48046264,1.22108511,1.42569035,1.43491071,1.43491071,1.43491071
2024-04-22 20:25:52.388696,62261,19327,7106,231,0,0,0,0.05202340,0.48804913,1.23027225,1.42387066,1.43077940,1.43077940,1.43077940
2024-04-22 20:25:53.389257,62326,19399,7096,217,0,0,0,0.05207763,0.48973021,1.23090590,1.41240624,1.41885788,1.41885788,1.41885788
2024-04-22 20:25:54.389796,61770,19216,7066,202,0,0,0,0.05161283,0.48512736,1.22313852,1.39201020,1.39662038,1.39662038,1.39662038
2024-04-22 20:25:55.390608,60787,18859,6982,187,0,0,0,0.05079167,0.47626909,1.20555376,1.36185444,1.36646462,1.36646462,1.36646462
2024-04-22 20:25:56.391248,59390,18329,6831,172,0,0,0,0.04962396,0.46313973,1.17660916,1.32057614,1.32287470,1.32287470,1.32287470
2024-04-22 20:25:57.392081,58078,17781,6650,159,0,0,0,0.04852814,0.44968631,1.14424969,1.27735774,1.27965630,1.27965630,1.27965630
2024-04-22 20:25:58.392855,56148,16982,6319,145,0,0,0,0.04691570,0.43003101,1.09002789,1.21189348,1.21419204,1.21419204,1.21419204
2024-04-22 20:25:59.393859,54256,16209,5981,133,0,0,0,0.04533475,0.41101827,1.03575171,1.14743767,1.14789477,1.14789477,1.14789477
2024-04-22 20:26:00.392751,52821,15632,5713,123,0,0,0,0.04413588,0.39681487,0.99348059,1.09649093,1.09649093,1.09649093,1.09649093
2024-04-22 20:26:01.393546,51988,15306,5531,114,0,0,0,0.04343956,0.38874907,0.96641652,1.06219759,1.06219759,1.06219759,1.06219759
2024-04-22 20:26:02.394154,51199,15001,5360,107,0,0,0,0.04278054,0.38121932,0.94106503,1.03050170,1.03050170,1.03050170,1.03050170
2024-04-22 20:26:03.394815,50453,14717,5200,100,0,0,0,0.04215684,0.37418937,0.91731622,1.00099922,1.00099922,1.00099922,1.00099922
2024-04-22 20:26:04.389538,49795,14481,5061,93,0,0,0,0.04160673,0.36830695,0.89694619,0.97543618,0.97543618,0.97543618,0.97543618
2024-04-22 20:26:05.390209,49879,14599,5017,88,0,0,0,0.04167740,0.37104656,0.89511614,0.96903228,0.96903228,0.96903228,0.96903228
2024-04-22 20:26:06.391098,49915,14806,5037,87,0,0,0,0.04170762,0.37574383,0.90189719,0.97483907,0.97759473,0.97759473,0.97759473
2024-04-22 20:26:07.397771,50056,15350,5221,98,0,0,0,0.04182503,0.38814318,0.93344238,1.01591549,1.02881877,1.02881877,1.02881877
2024-04-22 20:26:08.400305,49846,15737,5354,109,1,0,0,0.04165014,0.39667701,0.95590307,1.04705180,1.06826124,1.06826124,1.06826124
